year,category,occupation,count_all,avg_salary
1990,"Social Service","Clinical Laboratory Technologists and Technicians",369082,35313.06359444093
1990,"Production","Tailors, Dressmakers, and Sewers",207541,18402.520005857084
1990,"Production","Welding, Soldering, and Brazing Workers",772110,35108.016876622896
1990,"Corporate","Bookkeeping, Accounting, and Auditing Clerks",2350801,25208.604686001312
1990,"Construction","Carpenters",1588807,31146.01585497127
1990,"Production","Electrical, Electronics, and Electromechanical Assemblers",378593,24513.271947308134
1990,"Corporate","Postal Service Clerks",417633,42748.05259908612
1990,"Construction","Electricians",733673,44852.440459211386
1990,"Social Service","Childcare Workers",1061038,9818.041471410324
1990,"Farming, Fisheries, and Forestry","Agricultural workers, nec",1114323,14574.200963867972
1990,"Transportation and Material Moving","Bus and Ambulance Drivers and Attendants",524492,25459.244295027624
1990,"Production","Other production workers including semiconductor processors and cooling and freezing equipment operators",1847305,30354.09576906433
1990,"Building and Grounds Cleaning and Maintenance","Grounds Maintenance Workers",1010782,17833.164549071356
1990,"Social Service","Sheriffs, Bailiffs, Correctional Officers, and Jailers",331758,41129.57706420961
1990,"Installation, Maintenance, and Repair","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",212273,39297.69623440453
1990,"Food Preparation and Serving","Food preparation and serving related workers, nec",1559254,9423.13231275317
1990,"Transportation and Material Moving","Material moving workers, nec",144098,35911.53605328457
1990,"Production","Textile, Apparel, and Furnishings workers, nec",132248,23596.346138062436
1990,"Social Service","Licensed Practical and Licensed Vocational Nurses",506358,27033.839871423606
1990,"Construction","Construction workers, nec",214400,29564.088381368787
1990,"Corporate","Retail Salespersons",1850362,25648.842527524113
1990,"Corporate","Loan Interviewers and Clerks",659431,31137.752233200943
1990,"Management in Business, Science, and Arts","Farmers, Ranchers, and Other Agricultural Managers",1341793,36800.72201446256
1990,"Construction","Construction Laborers",1443995,25124.304563358277
1990,"Transportation and Material Moving","Cleaners of Vehicles and Equipment",289148,16136.174088677066
1990,"Social Service","Personal Care and Service Workers, All Other",308851,15224.04703648548
1990,"Transportation and Material Moving","Railroad Conductors and Yardmasters",48031,62160.602404851525
1990,"Food Preparation and Serving","Bartenders",410461,17505.849903035618
1990,"Social Service","Security Guards and Gaming Surveillance Officers",977135,28721.395210479128
1990,"Architecture and Engineering","Engineers, nec",395470,73391.18022973188
1990,"Financial Specialists","Accountants and Auditors",1764525,52524.946966476666
1990,"Corporate","Shipping, Receiving, and Traffic Clerks",973126,32443.404862826817
1990,"Life, Physical, and Social Science","Biological Technicians",67260,33681.203640818676
1990,"Social Service","Health Technologists and Technicians, nec",473645,27968.25490525104
1990,"Production","First-Line Supervisors of Production and Operating Workers",1485963,51123.38030517178
1990,"Life, Physical, and Social Science","Biological Scientists",68255,49566.1399632578
1990,"Installation, Maintenance, and Repair","Computer, Automated Teller, and Office Machine Repairers",97067,49397.77066535347
1990,"Management in Business, Science, and Arts","Education Administrators",703837,55311.85470852534
1990,"Food Preparation and Serving","Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",349874,6611.398243219392
1990,"Construction","Construction equipment operators except paving, surfacing, and tamping equipment operators",279172,40494.4261748599
1990,"Management in Business, Science, and Arts","Purchasing Managers",133245,67201.55170758234
1990,"Arts, Design, Entertainment, Sports, and Media","Public Relations Specialists",195576,51079.429324621124
1990,"Business Operations Specialists","Compliance Officers, Except Agriculture",186154,49140.57521734369
1990,"Corporate","Data Entry Keyers",759587,21834.89191199909
1990,"Life, Physical, and Social Science","Environmental Scientists and Geoscientists",59996,74497.69811856585
1990,"Education, Training, and Library","Secondary School Teachers",710588,43616.04305845678
1990,"Farming, Fisheries, and Forestry","Logging Workers",142847,27090.738332593744
1990,"Management in Business, Science, and Arts","Managers in Marketing, Advertising, and Public Relations",657566,80285.38558170314
1990,"Installation, Maintenance, and Repair","Maintenance and Repair Workers, General",855605,37516.93621596635
1990,"Corporate","Reservation and Transportation Ticket Agents and Travel Clerks",309287,32383.797548253195
1990,"Corporate","Sales and Related Workers, All Other",2571350,19550.027233246066
1990,"Financial Specialists","Insurance Underwriters",74593,47962.083160160735
1990,"Corporate","First-Line Supervisors of Office and Administrative Support Workers",800028,43306.75501661733
1990,"Life, Physical, and Social Science","Physical Scientists, nec",19794,59983.51793253537
1990,"Social Service","Nonfarm Animal Caretakers",137643,16880.611477305167
1990,"Arts, Design, Entertainment, Sports, and Media","Artists and Related Workers",249572,31479.31320441066
1990,"Management in Business, Science, and Arts","Property, Real Estate, and Community Association Managers",476820,57458.75828327314
1990,"Social Service","Veterinarians",53129,87028.02379705987
1990,"Arts, Design, Entertainment, Sports, and Media","Photographers",169826,36414.54793845764
1990,"Corporate","Bank Tellers",624766,17830.84024288318
1990,"Construction","Painters, Construction and Maintenance",698239,25067.172465400992
1990,"Education, Training, and Library","Special Education Teachers",69535,33180.479648975
1990,"Farming, Fisheries, and Forestry","Fishing and hunting workers",77035,31834.97849615559
1990,"Construction","Plasterers and Stucco Masons",50555,32020.818078512395
1990,"Life, Physical, and Social Science","Conservation Scientists and Foresters",40309,48301.573068875325
1990,"Life, Physical, and Social Science","Urban and Regional Planners",20010,57631.443766094424
1990,"Financial Specialists","Financial Specialists, nec",759949,58360.31833061491
1990,"Installation, Maintenance, and Repair","Maintenance Workers, Machinery",29722,40379.01772983115
1990,"Production","Medical, Dental, and Ophthalmic Laboratory Technicians",64980,38668.7494042133
1990,"Community and Social Services","Social Workers",748211,35632.755805227775
1990,"Corporate","Postal Service Mail Carriers",377474,45407.95656620813
1990,"Social Service","Physicians and Surgeons",627840,163315.36790159432
1990,"Extraction","Derrick, rotary drill, and service unit operators, and roustabouts, oil, gas, and mining",104911,50849.917849991514
1990,"Installation, Maintenance, and Repair","Bus and Truck Mechanics and Diesel Engine Specialists",297747,38375.71460050138
1990,"Installation, Maintenance, and Repair","Electrical and electronics repairers, transportation equipment, and industrial and utility",200535,39512.566568677656
1990,"Corporate","Word Processors and Typists",947549,22913.369211993337
1990,"Corporate","Computer Operators",798279,32876.89485251087
1990,"Life, Physical, and Social Science","Social Scientists, nec",27393,47469.95261978362
1990,"Corporate","Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",459531,18800.777491758116
1990,"Social Service","First-Line Supervisors of Police and Detectives",65987,61901.62486387274
1990,"Installation, Maintenance, and Repair","Automotive Service Technicians and Mechanics",1070056,32253.925018626436
1990,"Life, Physical, and Social Science","Psychologists",206521,59465.69814189876
1990,"Architecture and Engineering","Mechanical Engineers",210450,69800.15214788025
1990,"Social Service","Police Officers and Detectives",557201,53498.33174917857
1990,"Arts, Design, Entertainment, Sports, and Media","Editors, News Analysts, Reporters, and Correspondents",304493,46692.4074897236
1990,"Corporate","Production, Planning, and Expediting Clerks",620144,31996.361307180716
1990,"Installation, Maintenance, and Repair","First-Line Supervisors of Mechanics, Installers, and Repairers",308549,56978.86398587933
1990,"Social Service","Physical Therapists",100619,46995.400185108156
1990,"Social Service","Entertainment Attendants and Related Workers, nec",225165,17544.79687628289
1990,"Architecture and Engineering","Civil Engineers",279322,73086.6207855371
1990,"Architecture and Engineering","Architects, Except Naval",170470,69190.64206211492
1990,"Construction","Elevator Installers and Repairers",28522,59787.849583028525
1990,"Business Operations Specialists","Management Analysts",334886,79549.81203423842
1990,"Management in Business, Science, and Arts","Medical and Health Services Managers",258665,52763.34445214758
1990,"Construction","Pipelayers, Plumbers, Pipefitters, and Steamfitters",571115,41023.03486461999
1990,"Arts, Design, Entertainment, Sports, and Media","Writers and Authors",125048,50969.78143486363
1990,"Corporate","Securities, Commodities, and Financial Services Sales Agents",325950,92999.43804372309
1990,"Social Service","Tour and Travel Guides",59149,20625.13043233743
1990,"Business Operations Specialists","Claims Adjusters, Appraisers, Examiners, and Investigators",380075,37674.177374992905
1990,"Social Service","Recreation and Fitness Workers",102203,13847.08537739698
1990,"Architecture and Engineering","Chemical Engineers",73750,78926.8506621937
1990,"Corporate","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",105799,25761.766469167906
1990,"Transportation and Material Moving","Supervisors of Transportation and Material Moving Workers",133993,47467.23035988926
1990,"Corporate","Telephone Operators",300010,23856.78943865618
1990,"Corporate","Payroll and Timekeeping Clerks",218448,28351.182845475636
1990,"Extraction","Extraction workers, nec",43255,37681.59858386076
1990,"Corporate","Insurance Sales Agents",740460,64338.2634159628
1990,"Transportation and Material Moving","Packers and Packagers, Hand",484945,17001.468262778424
1990,"Social Service","Supervisors, Protective Service Workers, All Other",52775,45170.67499593165
1990,"Production","Laundry and Dry-Cleaning Workers",294303,16784.656091898596
1990,"Education, Training, and Library","Librarians",242772,32440.485808447447
1990,"Production","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",227639,32312.00107373119
1990,"Social Service","Law enforcement workers, nec",140352,7080.64676861702
1990,"Production","Cabinetmakers and Bench Carpenters",81661,31379.043107560217
1990,"Management in Business, Science, and Arts","Financial Managers",691721,73504.41502820597
1990,"Installation, Maintenance, and Repair","Radio and Telecommunications Equipment Installers and Repairers",220042,51598.49529523637
1990,"Corporate","Correspondent clerks and order clerks",288846,29145.942422337277
1990,"Arts, Design, Entertainment, Sports, and Media","Broadcast and Sound Engineering Technicians and Radio Operators, and media and communication equipment workers, all other",41136,38341.45509234828
1990,"Corporate","Counter and Rental Clerks",277208,17168.81138730919
1990,"Social Service","Dental Assistants",225477,18232.78701050534
1990,"Building and Grounds Cleaning and Maintenance","First-Line Supervisors of Housekeeping and Janitorial Workers",196958,34905.77502487562
1990,"Corporate","Billing and Posting Clerks",261139,23961.3069242865
1990,"Production","Upholsterers",87564,25535.725600710637
1990,"Computer and Mathematical","Operations Research Analysts",273730,61100.036754758534
1990,"Social Service","Medical Records and Health Information Technicians",64501,24832.87384787472
1990,"Construction","Insulation Workers",90397,32164.686354966267
1990,"Production","Butchers and Other Meat, Poultry, and Fish Processing Workers",333341,28233.017803511182
1990,"Social Service","Dieticians and Nutritionists",110748,28828.04065835968
1990,"Education, Training, and Library","Preschool and Kindergarten Teachers",335851,14178.432612828059
1990,"Architecture and Engineering","Drafters",372535,43500.406063260896
1990,"Transportation and Material Moving","Taxi Drivers and Chauffeurs",251366,27196.378242604584
1990,"Corporate","Library Assistants, Clerical",191293,14060.930154013013
1990,"Corporate","File Clerks",374816,14786.21596540466
1990,"Production","Stationary Engineers and Boiler Operators",189444,54516.989229631195
1990,"Corporate","Communications Equipment Operators, All Other",20275,33825.58967126193
1990,"Community and Social Services","Community and Social Service Specialists, nec",63212,18450.07149890248
1990,"Transportation and Material Moving","Industrial Truck and Tractor Operators",510615,31990.355490830225
1990,"Transportation and Material Moving","Pumping Station Operators",328852,17640.15932575713
1990,"Production","Food Batchmakers",67913,20035.342298785654
1990,"Community and Social Services","Clergy",361243,37703.14387563531
1990,"Corporate","Dispatchers",237477,33321.23636178689
1990,"Corporate","Bill and Account Collectors",187102,28258.223865593834
1990,"Management in Business, Science, and Arts","Human Resources Managers",315312,58071.77104526148
1990,"Production","Packaging and Filling Machine Operators and Tenders",363567,20178.413672249448
1990,"Corporate","Hotel, Motel, and Resort Desk Clerks",120683,15948.522277946638
1990,"Extraction","Earth Drillers, Except Oil and Gas",24672,35072.56662807525
1990,"Architecture and Engineering","Industrial Engineers, including Health and Safety",193895,63569.41319803984
1990,"Arts, Design, Entertainment, Sports, and Media","Musicians, Singers, and Related Workers",181402,30074.181578759377
1990,"Production","Jewelers and Precious Stone and Metal Workers",73539,29197.626253200564
1990,"Food Preparation and Serving","Food Preparation Workers",288876,11757.342977818722
1990,"Production","Bakers",202013,21608.940335384614
1990,"Corporate","Advertising Sales Agents",199539,45620.039760485415
1990,"Construction","Roofers",240108,23574.72564498252
1990,"Installation, Maintenance, and Repair","Home Appliance Repairers",58460,36142.04582706767
1990,"Installation, Maintenance, and Repair","Electronic Repairs, nec",78662,48121.34858094262
1990,"Production","Chemical Processing Machine Setters, Operators, and Tenders",80933,45733.428498697605
1990,"Transportation and Material Moving","Flight Attendants and Transportation Workers and Attendants",120545,37095.545016465425
1990,"Food Preparation and Serving","First-Line Supervisors of Food Preparation and Serving Workers",345065,22761.970304970106
1990,"Production","Plant and System Operators, nec",60825,49638.7532496124
1990,"Production","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",25565,29967.122022222222
1990,"Farming, Fisheries, and Forestry","Agricultural Inspectors",6195,24828.788479532162
1990,"Architecture and Engineering","Surveyors, Cartographers, and Photogrammetrists",18566,46061.03367708333
1990,"Social Service","First-Line Supervisors of Personal Service Workers",80080,24501.210093994778
1990,"Corporate","Eligibility Interviewers, Government Programs",56699,26067.793293115683
1990,"Arts, Design, Entertainment, Sports, and Media","Dancers and Choreographers",28103,19017.448858299595
1990,"Transportation and Material Moving","Sailors and marine oilers, and ship engineers",41248,33879.20788218111
1990,"Production","Bookbinders, Printing Machine Operators, and Job Printers",506051,33283.44385977859
1990,"Social Service","Baggage Porters, Bellhops, and Concierges",45724,21660.32575098814
1990,"Production","Cutting Workers",226520,24234.888490470137
1990,"Corporate","Mail Clerks and Mail Machine Operators, Except Postal Service",265846,20749.939766485775
1990,"Corporate","Parts Salespersons",143659,30581.97232419712
1990,"Transportation and Material Moving","Ship and Boat Captains and Operators",42716,53401.850507776755
1990,"Life, Physical, and Social Science","Medical Scientists, and Life Scientists, All Other",30798,62508.050811781606
1990,"Management in Business, Science, and Arts","Chief executives and legislators/public administration",38629,53710.302718780724
1990,"Construction","Sheet Metal Workers, metal-working",200117,39962.538569682154
1990,"Construction","Drywall Installers, Ceiling Tile Installers, and Tapers",169792,29891.26580756834
1990,"Transportation and Material Moving","Machine Feeders and Offbearers",107341,23587.070554966416
1990,"Transportation and Material Moving","Crane and Tower Operators",98684,44977.18558320063
1990,"Social Service","Optometrists",30609,96006.29577417173
1990,"Installation, Maintenance, and Repair","Industrial and Refractory Machinery Mechanics",375357,42523.71992431169
1990,"Life, Physical, and Social Science","Economists and market researchers",168195,69635.0993924572
1990,"Extraction","Mining Machine Operators",75364,44236.4178248337
1990,"Life, Physical, and Social Science","Agricultural and Food Scientists",39994,46124.096787307884
1990,"Production","Furniture Finishers",41419,24069.717099669342
1990,"Transportation and Material Moving","Parking Lot Attendants",61107,18171.24542264151
1990,"Farming, Fisheries, and Forestry","Forest and Conservation Workers",29089,21754.873768786125
1990,"Education, Training, and Library","Archivists, Curators, and Museum Technicians",32805,39198.73104922279
1990,"Building and Grounds Cleaning and Maintenance","First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",75427,36388.64986096256
1990,"Construction","Cement Masons, Concrete Finishers, and Terrazzo Workers",90081,30574.350840950643
1990,"Social Service","Dentists",171414,127581.42147952443
1990,"Transportation and Material Moving","Dredge, Excavating, and Loading Machine Operators",110942,40501.90035549179
1990,"Construction","Glaziers",52827,35680.28029574132
1990,"Social Service","Therapists, nec",78847,34826.085505023795
1990,"Computer and Mathematical","Statisticians",36115,52416.67538461538
1990,"Installation, Maintenance, and Repair","Automotive Body and Related Repairers",252006,31276.972996651348
1990,"Corporate","Models, Demonstrators, and Product Promoters",79071,15407.833038832421
1990,"Arts, Design, Entertainment, Sports, and Media","Athletes, Coaches, Umpires, and Related Workers",114464,32295.691904397707
1990,"Social Service","Pharmacists",205625,62658.79164313093
1990,"Management in Business, Science, and Arts","Funeral Directors",53917,59809.51138111888
1990,"Production","Molders, Shapers, and Casters, Except Metal and Plastic",203800,25492.07642498817
1990,"Life, Physical, and Social Science","Atmospheric and Space Scientists",9638,63538.08065075921
1990,"Social Service","Healthcare Practitioners and Technical Occupations, nec",49243,82938.68022303325
1990,"Business Operations Specialists","Agents and Business Managers of Artists, Performers, and Athletes",42517,46906.74290844714
1990,"Life, Physical, and Social Science","Chemical Technicians",89149,46108.59494912118
1990,"Social Service","Dental Hygienists",81007,33927.28048174442
1990,"Transportation and Material Moving","Locomotive Engineers and Operators",56572,61032.160468309856
1990,"Production","Prepress Technicians and Workers",86980,28572.4865105495
1990,"Production","Tool and Die Makers",169387,52568.46823865624
1990,"Production","Helpers--Production Workers",44983,20748.985812720846
1990,"Production","Photographic Process Workers and Processing Machine Operators",123681,23817.5921875
1990,"Farming, Fisheries, and Forestry","Graders and Sorters, Agricultural Products",87129,10947.727855397148
1990,"Social Service","Barbers",100116,27325.525633274057
1990,"Installation, Maintenance, and Repair","Helpers--Installation, Maintenance, and Repair Workers",26911,20519.000418809697
1990,"Construction","Helpers, Construction Trades",113866,16464.130715532287
1990,"Social Service","Ushers, Lobby Attendants, and Ticket Takers",46103,11237.403831908832
1990,"Construction","Brickmasons, Blockmasons, and Stonemasons",235109,32592.496675133352
1990,"Arts, Design, Entertainment, Sports, and Media","Actors, Producers, and Directors",127258,57529.1566461159
1990,"Transportation and Material Moving","Conveyor operators and tenders, and hoist and winch operators",30158,38333.24643206855
1990,"Arts, Design, Entertainment, Sports, and Media","Entertainers and Performers, Sports and Related Workers, All Other",117133,31973.566649810364
1990,"Social Service","Physician Assistants",27625,38723.08197162061
1990,"Production","Woodworkers including model makers and patternmakers, nec",87153,30904.95321451858
1990,"Arts, Design, Entertainment, Sports, and Media","Announcers",68170,32095.275509685613
1990,"Production","Painting Workers and Dyers",158145,30631.901466061063
1990,"Corporate","Office Machine Operators, Except Computer",75793,21412.49722048364
1990,"Social Service","Speech Language Pathologists",72640,41712.909931271475
1990,"Social Service","Health Diagnosing and Treating Practitioner Support Technicians",141080,38210.581396103895
1990,"Construction","Carpet, Floor, and Tile Installers and Finishers",187163,32136.050070554516
1990,"Corporate","Sales Engineers",48082,79030.2690048651
1990,"Construction","Construction and Building Inspectors",78549,48626.809858550136
1990,"Installation, Maintenance, and Repair","Telecommunications Line Installers and Repairers",56246,53412.941332651666
1990,"Transportation and Material Moving","Railroad Brake, Signal, and Switch Operators",40070,55245.93364274962
1990,"Installation, Maintenance, and Repair","Locksmiths and Safe Repairers",29756,40327.14027102154
1990,"Production","Pressers, Textile, Garment, and Related Materials",188971,18002.56683862156
1990,"Construction","Boilermakers",28725,44184.595825783974
1990,"Computer and Mathematical","Mathematical science occupations, nec",6620,69939.54330246913
1990,"Social Service","First-Line Supervisors of Fire Fighting and Prevention Workers",33671,69902.3772181818
1990,"Corporate","Meter Readers, Utilities",57788,35493.216582365
1990,"Life, Physical, and Social Science","Astronomers and Physicists",30121,81248.3816137931
1990,"Production","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",111369,41459.04920195715
1990,"Production","Crushing, Grinding, Polishing, Mixing, and Blending Workers",127214,33634.478985484864
1990,"Social Service","Occupational Therapists",42322,39216.481797979795
1990,"Production","Etchers, Engravers, and Lithographers",76793,41329.0629705401
1990,"Military","Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members",28596,17275.609743008314
1990,"Construction","Paperhangers",22305,29658.884223894634
1990,"Installation, Maintenance, and Repair","Precision Instrument and Equipment Repairers",36670,37647.28912874583
1990,"Corporate","Postal Service Mail Sorters, Processors, and Processing Machine Operators",8487,21739.251540342295
1990,"Production","Power Plant Operators, Distributors, and Dispatchers",41788,60714.35165923283
1990,"Extraction","Explosives Workers, Ordnance Handling Experts, and Blasters",10793,38582.06359797297
1990,"Architecture and Engineering","Marine Engineers and Naval Architects",16667,69038.13604907975
1990,"Farming, Fisheries, and Forestry","First-Line Supervisors of Farming, Fishing, and Forestry Workers",74809,39784.09913253566
1990,"Production","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",12680,25535.08941091954
1990,"Production","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",73912,22499.261844135803
1990,"Production","Paper Goods Machine Setters, Operators, and Tenders",26059,20954.86303095752
1990,"Production","Metal workers and plastic workers, nec",152186,34474.17066640787
1990,"Production","Adhesive Bonding Machine Operators and Tenders",41041,23142.560196353435
1990,"Production","Sawing Machine Setters, Operators, and Tenders, Wood",110749,23566.540168898355
1990,"Social Service","Opticians, Dispensing",86890,29984.04379310345
1990,"Production","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",15755,25841.207515856237
1990,"Military","Military Officer Special and Tactical Operations Leaders",5222,41763.56965367965
1990,"Social Service","Fire Inspectors",21591,41415.80529147982
1990,"Production","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",20918,39873.88676003735
1990,"Building and Grounds Cleaning and Maintenance","Pest Control Workers",56947,32633.97136462882
1990,"Installation, Maintenance, and Repair","Control and Valve Installers and Repairers",23451,45116.815912162165
1990,"Production","Molders and Molding Machine Setters, Operators, and Tenders, Metal and Plastic",104223,31594.243239829088
1990,"Production","Rolling Machine Setters, Operators, and Tenders, metal and Plastic",15951,40600.98309048178
1990,"Production","Shoe Machine Operators and Tenders",46547,16559.637407927043
1990,"Production","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",57767,31138.89799150882
1990,"Production","Structural Metal Fabricators and Fitters",49303,35450.45648848684
1990,"Production","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",22238,42471.09639058413
1990,"Production","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",75053,38520.363214643934
1990,"Production","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",128285,31568.455768883534
1990,"Architecture and Engineering","Aerospace Engineers",157622,79605.05265262879
1990,"Social Service","Crossing Guards",58070,15291.42595553962
1990,"Architecture and Engineering","Materials Engineers",20412,69391.8125948718
1990,"Transportation and Material Moving","Transportation workers, nec",8018,37395.7520935412
1990,"Production","Shoe and Leather Workers and Repairers",35216,24044.099317425083
1990,"Production","Textile bleaching and dyeing, and cutting machine setters, operators, and tenders",9758,20459.892690058477
1990,"Production","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",5932,31305.090388349512
1990,"Production","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",86246,22053.97015988062
1990,"Production","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",40406,32443.253942014242
1990,"Business Operations Specialists","Buyers and Purchasing Agents, Farm Products",20710,46910.77714285714
1990,"Transportation and Material Moving","Motor Vehicle Operators, All Other",4296,32642.287599999996
1990,"Transportation and Material Moving","Subway, Streetcar, and Other Rail Transportation Workers",6264,49884.752572347265
1990,"Corporate","Proofreaders and Copy Markers",39883,23584.1837886873
1990,"Social Service","Podiatrists",9057,121921.90254545455
1990,"Computer and Mathematical","Actuaries",20452,91503.54878232759
1990,"Production","Computer Control Programmers and Operators",5961,52424.52402777778
2000,"Social Service","Nursing, Psychiatric, and Home Health Aides",2406232,20791.40836719583
2000,"No Occupation","Unemployed, with No Work Experience in the Last 5 Years or Earlier or Never Worked",113298299,15236.903193094407
2000,"Social Service","Physicians and Surgeons",787375,195483.93976737792
2000,"Education, Training, and Library","Elementary and Middle School Teachers",3634118,42844.05987903647
2000,"Corporate","Office Clerks, General",1943111,23816.00937289379
2000,"Social Service","Clinical Laboratory Technologists and Technicians",354996,39206.85575461585
2000,"Corporate","Secretaries and Administrative Assistants",4757256,28799.465934977998
2000,"Social Service","Registered Nurses",2648666,48186.48911741529
2000,"Corporate","First-Line Supervisors of Sales Workers",4372744,51871.87413444379
2000,"Corporate","Library Assistants, Clerical",190901,17553.198114865572
2000,"Education, Training, and Library","Postsecondary Teachers",1345001,57365.751952162085
2000,"Corporate","Stock Clerks and Order Fillers",1754180,20203.19585120565
2000,"Corporate","Shipping, Receiving, and Traffic Clerks",814653,27994.246933018203
2000,"Production","Bakers",227210,21899.586424155543
2000,"Corporate","Bank Tellers",528150,18714.775913133708
2000,"Life, Physical, and Social Science","Biological Technicians",24558,35585.981293532335
2000,"Financial Specialists","Appraisers and Assessors of Real Estate",111546,59372.61764685005
2000,"Corporate","Cashiers",4313186,12736.598801864058
2000,"Social Service","Childcare Workers",1868307,12951.215550742776
2000,"Production","Other production workers including semiconductor processors and cooling and freezing equipment operators",1791855,29927.437037557724
2000,"Production","First-Line Supervisors of Production and Operating Workers",1545386,51452.36551182899
2000,"Social Service","Medical Assistants and Other Healthcare Support Occupations, nec",739916,22497.25847891194
2000,"Production","Assemblers and Fabricators, nec",1634046,28181.239294985393
2000,"Installation, Maintenance, and Repair","Telecommunications Line Installers and Repairers",198042,46641.74654567825
2000,"Food Preparation and Serving","Food Servers, Nonrestaurant",209846,16115.033402123228
2000,"Production","Electrical, Electronics, and Electromechanical Assemblers",369050,26021.492104638623
2000,"Food Preparation and Serving","Waiters and Waitresses",2439299,12380.682504755012
2000,"Arts, Design, Entertainment, Sports, and Media","Writers and Authors",196806,57759.94945118677
2000,"Arts, Design, Entertainment, Sports, and Media","Designers",894601,42112.91326559133
2000,"Management in Business, Science, and Arts","Medical and Health Services Managers",459916,65732.45104433497
2000,"Community and Social Services","Social Workers",735227,38860.135627240146
2000,"Management in Business, Science, and Arts","Constructions Managers",726938,74840.81387727917
2000,"Corporate","Retail Salespersons",4760701,26252.798658787866
2000,"Production","Jewelers and Precious Stone and Metal Workers",65904,31738.845050178053
2000,"Farming, Fisheries, and Forestry","Agricultural workers, nec",1126928,16826.775517580772
2000,"Construction","Carpenters",1748664,33207.396359705526
2000,"Corporate","Loan Interviewers and Clerks",136155,37326.458951978726
2000,"Social Service","Dental Hygienists",129061,40370.618455822965
2000,"Arts, Design, Entertainment, Sports, and Media","Musicians, Singers, and Related Workers",203990,37323.94631885263
2000,"Corporate","Customer Service Representatives",2511966,29417.64212299148
2000,"Food Preparation and Serving","Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",303661,7677.505153482082
2000,"Corporate","Word Processors and Typists",245961,23742.67383037278
2000,"Corporate","Bookkeeping, Accounting, and Auditing Clerks",2140337,29652.560403341868
2000,"Management in Business, Science, and Arts","Computer and Information Systems Managers",349535,94226.07448301934
2000,"Corporate","Reservation and Transportation Ticket Agents and Travel Clerks",232225,31376.42808570623
2000,"Building and Grounds Cleaning and Maintenance","Janitors and Building Cleaners",2727420,22415.056316558475
2000,"Community and Social Services","Counselors",671649,38721.97417456605
2000,"Management in Business, Science, and Arts","Education Administrators",801651,62923.59269194721
2000,"Corporate","File Clerks",476892,19039.74357233143
2000,"Food Preparation and Serving","Food Preparation Workers",760628,11891.744764442548
2000,"Computer and Mathematical","Computer Scientists and Systems Analysts/Network systems Analysts/Web Developers",1117920,67161.44526516505
2000,"Production","Machinists",580214,42712.47861948917
2000,"Construction","Construction Laborers",1656148,26542.467093505187
2000,"Production","Packaging and Filling Machine Operators and Tenders",416938,21812.533926044714
2000,"Transportation and Material Moving","Driver/Sales Workers and Truck Drivers",3937302,38672.53661736391
2000,"Management in Business, Science, and Arts","Chief executives and legislators/public administration",1289726,158466.09224156133
2000,"Building and Grounds Cleaning and Maintenance","Maids and Housekeeping Cleaners",1737110,14792.220098768803
2000,"Life, Physical, and Social Science","Chemical Technicians",103782,47703.491856193825
2000,"Transportation and Material Moving","Industrial Truck and Tractor Operators",647669,31246.295985691333
2000,"Computer and Mathematical","Computer Programmers",738948,67670.3097331486
2000,"Legal","Lawyers, and judges, magistrates, and other judicial workers",1010117,138990.61179158624
2000,"Food Preparation and Serving","Chefs and Cooks",2823452,16106.867678489403
